1	Sameng’ngam pilleqesta Abraham-emeng, sivunemnneng whangkuta Jews-eni? Sameng liitkaawa?
2	Kiyaghneghem nallghusaqaqngukagu elqughutngalleghminun sallghakun, sameng qukaayugusighqalgunayaghtuq. Iwernga Kiyaghneghmun qukaayugutkepagningitii salleni.
3	Akuzitni Igaqegkani igaqngaaq whaten, “Abraham-em ugpeqegkaqaa Kiyaghneq enkaam ugpeqillgha apalluqluku Kiyaghneghem tugukliqaqaa elqughutngalghiinguluku.”
4	Yuuk qepghalleghmineng akileghtuusangegkayuguuq. Akileghtuusaa tunusaanghituq qayughllak ellngan allgeghtekaqaa qepghaalluku.
5	Kiyaghneghem nallghusaghnaanghitaa yuuk elqughutngalleghminun qepghaatillghakun ellminun. Itupill yugem neghyuksaghqaqaa Kiyaghneq nallghusaghikayuk seghleghqesteneng elqughutngalleghminun ugpeqillghitgun.
6	Umiilgem David-em igaqegkaqaa taana ataasiq. Pikaaguq yuget quyastepikaaniluki Kiyaghneghem nallghusaghaqngaki elqughutngalleghminun avelghaghluki qepghaatillghit Kiyaghneghmun.
7	“Quyastekaagut tamaakut seghleghqellghit Kiyaghneghem seghevutkii, anaggutellghit saapegkii!
8	Quyastekaaguq yuuk seghleghqellghi Atanghem sumeghmiknaniqangi.”
9	Taana quyastelleq David-em akuzitkegkaa, circumcise-ekaghhiinaghnun pingwaa? Nakaa! Circumcise-ellghilngughnunllu pinguuq. Akuzitni Igaqegkani igaqngaaq, “Abraham-em ugpeqegkaqaa Kiyaghneq, enkaam ugpeqillgha apalluqluku Kiyaghneghem tugukliqaqaa elqughutngaluku.”
10	Qavngaq Kiyaghneghem tugukliqaqagu? Sivungani circumcise-ellghaan nalighmeng kingunganeng? Sivungani circumcise-ellghan, nakaan kingunganeng.
11	Tagtalmi taakwani Abraham circumcise-ekaaguq. Circumcise-ellgha nalluniilkutaaguq ipapighqusiiluni Kiyaghneghem nallghusaqaqegkanga elqughutngalleghminun ugpeqillghakun. Salin circumcise-ellghilluku Kiyaghneghem tugukliqaqaa elqughutngaluku. Tamaaken apalluqluku Abraham atanguuq tamaghhaanun ugpeqilghiinun circumcise-ellghiteghngaata, enkaam Kiyaghneghem tugukliimii elqughutngaluki.
12	Abraham-llu atakaat circumcise-ekat. Taana ipanguuq taawanginaghhaq ugpeqillelgukuyeng Abraham-etun, salin circumcise-ellghilluku.
13	Kiyaghneghem akeqegkaqii Abraham-enkut kingunqullghiit iingunaghhaan nuna ellngitnun pagilleqniluku. Akequsaqellghitaa taana Abraham-emun qayughllak qaatkegkangi Liilightuusat. Itupill Kiyaghneghem akeqegkaqaa qayughllak ugpeqegkanga enkaam Kiyaghneghem tugukliqaqaa elqughutngaluku.
14	Kiyaghneghem akequsaa tuunyaghqaayaqan qaatkullghiinun Liilightuusanun, taawa ugpeqilleq satngunghituq. Kiyaghneghemllu akequsaa satngunghituq.
15	Kiyaghneq sakritaquq yuget qaatkunneghinneghata Liilightuusanun tuunegkaanun Moses-mun. Iwernga Liilightuusiisaqan taawa yuget qaatkunneghitusiinnayaghtut.
16	Tamaaken apalluqluku ugpeqilleghmegteggun yuget allgeghtaat Kiyaghneghem akequsaa akingilnguuluku tunusaq. Enkaam qamaglluteng Abraham-em kingunghita allgeghtepestaaghlleqaat Kiyaghneghem akequsaa. Taana akequsaq Jews-nginaghhaghnun ayuqenghituq Liilightuusalegnun. Iwernga ugpeqilghiinunllu ayuquq Abraham-em ugpeqillghatun. Enkaam Abraham qamaglluta atakaghput ugpeqilghiini.
17	Akuzitni Igaqegkani igaqngaaq, “Atangughtestamken uglapiglleghhiinun nunat yugitnun.” Kiyaghneghem tawaten akeqegkaqaa Abraham qayughllak ugpeqegkanga Kiyaghneq. Kiyaghneghuuq tuqukaneng unguvaghtikayuk, qelghilleghmikunllu ulimatkayuk sameng sangilngughmeng.
18	Abraham-em avaqutilleghqaa sighimaniitkaaguq. Iwernga ugpeqegkaqaa Kiyaghneq, sighimakumanginaqaqaallu. Enkaam atangughtekaaguq uglaapiglleghhiinun nunat yugitnun. Whaten Kiyaghneghem pikaqaa, “Kinguneghten kestepagningisaghqaagut.”
19	Abraham-em nulighha, Sarah, qumingepagningitkaalghii. Ellnga Abraham 100 ayumiqulleghtutkalighyaghtughluni, tuqumun tughaaghulghii. Iwernga tamaakut suumqeghngaaghmiki, ugpeqillgha Kiyaghneghmun ukavaamangilnguq.
20	Ugpeqinaniimangituq talwa aygughikumangitaa Kiyaghneghem akequsaa. Iwernga ugpeqiighataghaqaq, usuqegkaallu Kiyaghneq.
21	Abraham-em ipapighqutkengngwaaqaqaa Kiyaghneghmun piyaghqaqniluku akequsaqegkani.
22	Akuzitni Igaqegkani igaqngaaq, “Kiyaghneghem tuguqliqaqaa elqughutngaluku,” apalluqluku ugpeqillgha.
23	Taakut akuzitet, “Kiyaghneghem tuguqliqaqaa elqughutngaluku,” igaqegkaagut nakaan Abraham-nginaghmun,
24	iwernga igaqegkaagut whangkunnunllu. Kiyaghneghem tuguklighlleqiinkut elqughutngaluta qayughllak ugpeqegkefut ellnga. Ellnganguuq Jesus-meng Atanemnneng unguvaghtestikaq.
25	Kiyaghneghem tuunegkaqaa Jesus tuqumatkesqelluki seghleghqelleput, unguvaghtekaqaallu nallghusaghnaluta elqughutngalleghminun.
 
