1	Anusimingllaghaagunga qayughllak qepghaaskegka Ataneq. Kiyaghneghem nakmikegkaqiisi ellminun yugulusi; tamaaken apalluqluku kayemamsi kiyaghtesqellusi Kiyaghneghem kiyaghtesqesullghatun.
2	Iiwleng qusevegllusi, yakumangilliqegpenasi, nuqenneghtulusi, tugukliitullusi piniqelleghqun.
3	Kiyaghneghem Taghneghagkenka qerngughutkaqiisi nekeggmelleghqun. Enkaam nanghiiqughllagtek iiwleng kiyaghtek tawaten.
4	Ataasiiguq yugusiq, ataasiiguklu Taghneghak, katam tawaten ataasimun sighimalleghmun Kiyaghneghem tagsighiisi.
5	Ataasiiguq Ataneq, ataasiiguq ugpeqilleq, ataasiiguq paaptaayelleq.
6	Ataasiiguq Kiyaghneq, Atakaat saam tamaghhaan. Ellngan igleghutngwaa sangwaa tamaghhaan, tamaghhaanituq, sametuqlu alngunak.
7	Christ-am tamaghhaamta tuunegkaqiinkut tunusameng qepghaqani pisqelluku. Tuunegkaqii taakut tunusat tuunyukelleghmitun.
8	Tamaaken apalluqluku Akuzitni Igaqegkani igaqegkaalghii, “Mayughaqngami uusqalleghmun tugukaqii uglaapiglleghhiit wayaqat, yugetlu tunusaliquqaqii.”
9	Sameng pisiiwa, “Mayuqaaguq”? Whaten pisiiguq, sivukluni ukikaaguq samavek asilighneghanun nunam.
10	Enkaam ellnga taana ukikaq samavek, ellnganguuq ataasiq taana mayuqaq pamavek ingyaghluki qilaget, imighnaluku sangwaa qamaglluku nayuutngalleghmineng.
11	Ellnganguuq tunusaliquqaq yugnun: ilangi apostle-nguluki, ilangi uuknaliqistenguluki, ilangi evangelist-nguluki, ilangi yughaghtenguluki, apeghtughistengulukillu.
12	Taakut tunusalitkaqii apeghtiisqelluki Kiyaghneghem yugi ellngitnun qepghaatesqelluku ellnga. Kiyaghneq tawaten pikaaguq ellngitnun nekeftesqelluku Christ-am yugusii.
13	Taana qepghaqaq nagneghllequq kenlanga ataasiightellemnnun ugpeqillemteggun, liisimakellemteggunllu Ighnegha Kiyaghneghem. Taagken angtaniitngwaaghluta Christ-atun lliighllequkut.
14	Enkaam taghnughhaghhaananighllequkut. Tamaaken apalluqluku puughtesnaanghitukut yugnun temngimeng apeghtughillghitgun. Apeghtughillghit anuqestunllu imaghllugestunllu ayuqut nuugtaatalghiit yugneng. Tamaakut peghqinelghiit, iqlengalghiit yuget, iqlengateng ipasugnighsaghaqiit maghyaghquneghlluggnaluki yuget.
15	Itupill akuzitkelteggu ipapilleq piniqelleghqun, enkaam wata Christ-atun lliighllequkut sallemteggun tamaghhaakun. Christ-a naasquqaat ugpeqat.
16	Ugpeqani yugusiqiinkut Christ-am. Ellngakun iingunaghmi yugusiq qerngughutkaaguqlu nuverraatkaaguqlu yugusim ivalungakun. Qamaglluteng nalighneghet qepghanneghmeggni qepghalleghqamegestun, taawa yugusiq nagwaaquq, iknaqughsaghaquqlu piniqelleghqun.
17	Enkaangam Atanghem aatghakun whaten piimsillu kelengasaaghamsillu: kiyaghtegpenasingam Gentile-et kiyaghtaallghistun. Sumeghtaghallghit sasiinghilnguugut,
18	umyugiitlu liigikingigalnguugut. Ilatnganghitut unguvalleghmun Kiyaghneghem tuunegkaanun, qayughllak nallukngwaaghaat, pineghlluguutlu.
19	Talwa kaynguyugyaghqaananiimaat; atuqaqiitlu sangwaat alngunak seghleghet yugusimeng piyukegkiit. Nagneghusugaqiit qamaglluki seghleghet nuqetutegpenaki.
20	Iwernga tamaakut liitellghitasi Christ-am apeghtuusiitneng!
21	Nagaqupestaaqaqaghsi ellnga, qayughllak maligsaaghtekegkangisi. Enkaam apeghtuqaagusi ipa apeghtuusaaneng Jesus-em.
22	Whaten apeghtuqaqiisi: seghleghet piyukelleghpesi puughlleqiisillu naafqelleqiisillu. Tamaaken apalluqluku pegteki nangaghnelusillu kiyaghtaalqesaqesillu.
23	Itupill taghnegham nutaghlliki umyugasi.
24	Enkaam atuqiteggu nangaghneghraghaghsi qayughllak Kiyaghneghem ulimakaqaa ellmitun ayuqluku: elqughutngapiigluku, agleghnaghlukullu.
25	Enkaam iqlengiqnanightegngam! Itupill iiwleng apeghteggu ipapilleq ilagpesinun, qayughllak qamaglluta nalighnequghiinkut Christ-am yugusiin.
26	Sakritek iwernga seghleghqegpenasi. Siqineq tevightestegpenaan paninang sakritngulusi.
27	Talwa tughneghaq pilleghqalitegpenaan nanghiiqusqellusi seghleghqelleghmun.
28	Tegleghniighta teglegnanighli. Itupill qepghaghli allgeghusaghqaaluni aklukegkamineng, tuuniyaghqaaghllequqlu aklukilghiinun.
29	Akuzitkigpenasi seghleghmeng. Itupill aleghqughteki pinitun yuget aklukillghitni. Pinilghiit akuzitet kayemyaghqaqiit, aneghneghqesaghqaqiit nagallghiit.
30	Qivghustegpenakeklu Agleghnalghiik Taghneghakek Kiyaghneghem. Taghneghagmineng nalluniiqaqiisi ellmi piknalusi. Tawaten pikaaguq elpesinun liisimakesqelluku itemulleqiisi seghleghqelleghpesineng Itemutellghem Aghnegha kaaskan.
31	Pegteggu ugumikeraaq, sakraa, sakraaghllak, yupighqaghaataq, seghlequuq, qamagllukillu seghleghet.
32	Yeghlegi nangllegtaghtek, nafughtaghtek ilagpesinun, seghevutullusillu, katam Kiyaghneghem seghevutkaqegkangisi Christ-akun.
 
