1	Ugpeqaalgutemnni, taaqniitkun sameng piighaataqaghlamsi. Yughaatkitekut Atanghem ungipaa mingirragkiighesqelluku, yugnunllu quulviisqelluku, katam elpesi pilleghpesistun.
2	Yughaatkitekutlu Kiyaghneghmun yugulisqelluta seghleghneng yugneng, qayughllak uglalghii yuuk ugpeqillelgunghituq.
3	Iwernga Ataneq ataasiighmetuq; iknakqughsaghlleqiisillu paqniighsaghlleqiisillu Tughneghaghmeng.
4	Atanghem nalluneqniighumaa whangkunnun qaatkutnguusi qelellemnnun, qaatkumanginaghlleqaghsillu.
5	Atanghem liigikeslisi wataqaaghaq Kiyaghneghem piniqellghaneng, Christ-amllu nuqetutineghtullghaneng.
6	Ugpeqaalgutemnni, aatghakun Atanemta Jesus Christ-am qelghamsi iqitngasqellusi tamaghhiitneng ugpeqaalgutegpesineng ighsanitalghiinengllu malighqutaqigalngughnengllu apeghtuutkamnneng elpesinun.
7	Elpesi katam liisimakaghsi ayuqesighaghyaghqaqsaghaghpekut; elpesinilluta ighsanitiqumangitukut.
8	Tugukliigataput neqet kinkuneng alngunak tukfillngunaki. Iwernga unugtuumaan, aghneghtuumaan qepghaqaagukut, ughleghiiqaagukut uqigtuqutnguyunghitutemnneng nalighhiinaghpesinun.
9	Elpesinun aapsaqleguyaghtukut kayusiitesqelluta, yeghlegi qepghaqaagukut aflengaknaluta whangkunneng usputaanaluta elpesinun ayuqesighiisqelluta.
10	Talwa elpesinilluta whaten qelqaqegkemsi, “Kina alngunak qepghaghyunghilnguq neghestegpenaan.”
11	Tawaten pikaagukut qayughllak nagaqughaqukut ilasinguq ighsanitaghtut, qepghaghyugigatut, yeghlegi yanutqwaaqiinguq yuget.
12	Aatghakun Atanghem Jesus Christ-am qelghaputlu kayemaputlu tawatelnguut yuget ighsanitiqefqiita allgheghutesqelluki kiyaghusighqiitneng.
13	Ugpeqaalgutemnni, qinuyagutegpenasi pinitun pineghmeng.
14	Kina alngunak qaatkusunghilkan sameng pillemnnun ukutgun latamteggun, suumqennakesi kinkungutangi. Enkaam iqitngalghaasi ellnganeng kaynguyugesqelluku anaggutellghaneng.
15	Iwernga kiyaghutegpenaan anguyaguluku, itupill kelengasaaghteggu ugpeqaalgutkelluku.
16	Atanghem ellmineng katam nekeggmellelitikayugem, nekeggmellelisilli iiwleng sami tamaghhaani. Ataneq tamaghhaaghpesinilli.
17	Whanga, Paul whanga katam iiggemneng igaqaqa piniqilqa elpesinun. Tawaten igaghaqunga qamaglluki latamkun elpesinun liisimakesqelluki whangamneng pingutangi.
18	Nangllegtallgha Atanemta Jesus Christ-am tamaghhaghpesinilli.
 
